id,kategori,navn,land,breddegrad_pre_wgs84,lengdegrad_pre_wgs84,breddegrad_desimal,lengdegrad_desimal,aar_etablert,aar_maalt,kilde_type,kilde_referanse,kilde_url,sirkel_tilhorighet,avstand_til_sirkel_km,naerhet_kategori,merknad
PPLX-011,triangulering,Wadi Halfa,Sudan,,,21.80,31.35,1893,1893,Arc of 30th Meridian astro-stasjon,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,Cancer,184,langt_fra,Startpunkt for feltarbeid
PPLX-012,triangulering,Murrat Wells,Sudan,,,20.50,30.80,1893,1894,Arc of 30th Meridian astro-stasjon,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,Cancer,328,langt_fra,Nubisk ørken. Fastsatt telegrafisk.
PPLX-013,triangulering,Kerma,Sudan,,,19.65,30.40,1896,1896,Arc of 30th Meridian astro-stasjon,Smith 2005 FIG,https://www.fig.net/resources/paroceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,Cancer,422,langt_fra,
PPLX-014,triangulering,Merowe,Sudan,,,18.45,31.80,1898,1898,Arc of 30th Meridian astro-stasjon,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,Cancer,555,langt_fra,Telegrafisk fastsatt
PPLX-015,triangulering,Abu Hamed,Sudan,,,19.53,33.32,1898,1898,Arc of 30th Meridian astro-stasjon,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,Cancer,430,langt_fra,
PPLX-016,triangulering,Kassala Base,Sudan,,,15.45,36.40,1901,1902,Arc of 30th Meridian basislinje,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,annen,890,langt_fra,Målt basislinje
PPLX-017,triangulering,Lake Rudolph Base,Sudan,,,5.50,30.50,1903,1903,Arc of 30th Meridian basislinje,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,Ekvator,611,langt_fra,3.5 mil lang basislinje
PPLX-018,triangulering,El Obeid,Sudan,,,13.18,30.22,1907,1907,Arc of 30th Meridian astro-stasjon,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,annen,1141,langt_fra,Re-målt 1940
PPLX-019,triangulering,Juba Base,Sudan,,,4.85,31.60,1952,1953,Arc of 30th Meridian basislinje,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,Ekvator,539,langt_fra,Base for AMS-team
PPLX-020,triangulering,Quleit Base,Sudan,13 50 N,,13.83,30.00,1939,1939,Arc of 30th Meridian basislinje,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,annen,1067,langt_fra,Lengde 9904.572 m. Pre-WGS84 lat oppgitt direkte i kilde.
PPLX-021,triangulering,Abu Qarn Base,Sudan,10 N,,10.00,30.00,1951,1952,Arc of 30th Meridian basislinje,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,Ekvator,1113,langt_fra,Lengde 10230.372 m. Pre-WGS84 lat oppgitt direkte.
PPLX-022,triangulering,Cairo Station,Egypt,30 N,,30.00,31.27,1907,1907,Arc of 30th Meridian astro-stasjon,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,annen,732,langt_fra,Nord-terminal område. Smal beltede kvadrilateraler.
PPLX-023,triangulering,Beni Suleiman Base,Egypt,29 N,,29.00,31.10,1908,1908,Arc of 30th Meridian basislinje,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,annen,621,langt_fra,Lengde 6390.840 m. 8x24m invar Jäderin wires.
PPLX-024,observatorium,Helwan Khedivial Observatory,Egypt,29 51 31 N,30 15 5.5 E,29.8586,30.2515,1903,1908,Arc of 30th Meridian astronomisk hovedstasjon,Astronomical Heritage IAU; Smith 2005 FIG,https://web.astronomicalheritage.net/show-entity?identity=127&idsubentity=1,annen,713,langt_fra,Basislinje 7946.04 m målt her 1908. IAU obs.kode 087. 116 moh.
PPLX-025,triangulering,Assiut Abnub Base,Egypt,27 N,,27.18,31.18,1920,1920,Arc of 30th Meridian basislinje,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,annen,418,langt_fra,Lengde 9686.771 m
PPLX-026,triangulering,Luxor Base,Egypt,25 40 N,,25.67,32.65,1922,1922,Arc of 30th Meridian basislinje,Smith 2005 FIG,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,Cancer,248,langt_fra,Lengde 8668.762 m. Pre-WGS84 lat oppgitt.
PPLX-027,triangulering,Aswan Base,Egypt,24 N,,24.09,32.90,1927,1927,Arc of 30th Meridian basislinje,Smith 2005 FIG; Wikipedia Aswan,https://www.fig.net/resources/proceedings/fig_proceedings/cairo/papers/wshs_03/wshs03_01_smith.pdf,Cancer,73,nær_sirkel,Lengde 7014.997 m. Eratosthenes-historisk lokasjon for Syene.
PPLX-028,triangulering,Adindan Base,Egypt,22 10 N,,22.17,31.50,1930,1930,Arc of 30th Meridian basislinje + datum-opphav,Smith 2005 FIG; EPSG:4201,https://epsg.io/4201,Cancer,141,langt_fra,Lengde 7865.777 m. Origin Adindan-datum for Sudan/Etiopia/Sør-Sudan/Eritrea. Clarke 1880 ellipsoide.
PPLX-029,observatorium,Royal Observatory Cape of Good Hope,Sør-Afrika,33 56 03 S,18 28 36 E,-33.9342,18.4767,1820,1834,astronomisk observatorium,Henderson & Maclear triangulering 1834-1838,https://en.wikipedia.org/wiki/David_Gill_(astronomer),annen,1170,langt_fra,David Gills hjemstasjon. Astronomer Royal at the Cape.
PPLX-030,monument,Kayabwe Equator Monument,Uganda,0 00 02.92 S,32 02 21.01 E,-0.000811,32.039169,1980,2015,monument,Wikimedia Commons; OpenStreetMap,https://commons.wikimedia.org/wiki/File:Uganda_Equator_(Kayabwe).jpg,Ekvator,0.09,på_sirkel,Hvit sirkel-monument langs Kampala-Masaka highway. 90 m fra ekvator.
PPLX-031,monument,Tropic of Capricorn Sign Namibia,Namibia,23 26 13.0 S,,-23.43694,15.50,1970,2024,kolonimarkør,Facebook 4x4Rentals; Wikipedia Tropic Capricorn,https://en.wikipedia.org/wiki/Tropic_of_Capricorn,Capricorn,0.05,på_sirkel,Skilt langs C14 ved Gaub Pass nord for Solitaire. 23.43694 S oppgitt direkte.
PPLX-032,monument,Tropic of Capricorn Monument Botswana,Botswana,23 26 S,20 00 E,-23.433,20.00,1970,2024,monument,Wikipedia Tropic Capricorn,https://en.wikipedia.org/wiki/Tropic_of_Capricorn,Capricorn,0.7,på_sirkel,Mellom Serowe og Letlhakeng. Kgalagadi/Kweneng-distrikt.
PPLX-033,monument,Tropic of Capricorn Marker Limpopo,Sør-Afrika,23 26 S,27 18 E,-23.433,27.30,1970,2024,monument,Wikipedia Tropic Capricorn; AARoads N1,https://en.wikipedia.org/wiki/Tropic_of_Capricorn,Capricorn,0.7,på_sirkel,Limpopo-provinsen. Langs N1.
PPLX-034,monument,Tropic of Capricorn Mozambique,Mosambik,23 26 S,31 33 E,-23.433,31.55,1970,2024,monument,Wikipedia Tropic Capricorn,https://en.wikipedia.org/wiki/Tropic_of_Capricorn,Capricorn,0.7,på_sirkel,Gaza/Inhambane-provinsen
PPLX-035,monument,Tropic of Capricorn Madagaskar,Madagaskar,23 26 S,43 45 E,-23.433,43.75,1970,2024,monument,Wikipedia Tropic Capricorn,https://en.wikipedia.org/wiki/Tropic_of_Capricorn,Capricorn,0.7,på_sirkel,Toliara/Fianarantsoa
PPLX-036,observatorium,Aswan Eratosthenes locus,Egypt,24 05 23 N,32 53 59 E,24.0898,32.8997,-240,1850,historisk astronomisk referanse,Wikipedia Aswan; Eratosthenes 240 BC,https://en.wikipedia.org/wiki/Aswan,Cancer,73,nær_sirkel,Eratosthenes brukte denne til Jorden-omkrets ca 240 BC. 0.65 grader nord for Cancer.
